date,spot,domestic_rate,foreign_rate,volatility
2022-02-01,1.12296462059021,0.01,0.00944214649050264,0.06647278324610871
2022-02-02,1.1273956298828125,0.01,0.00944214649050264,0.0679361140092748
2022-02-03,1.1299946308135986,0.01,0.00944214649050264,0.0677677479768871
2022-02-04,1.14357590675354,0.01,0.00944214649050264,0.07974272256220044
2022-02-07,1.145514726638794,0.01,0.00944214649050264,0.07814646567218919
2022-02-08,1.1442956924438477,0.01,0.00944214649050264,0.07779581676857324
2022-02-09,1.142126202583313,0.01,0.00944214649050264,0.07755954119496102
2022-02-10,1.142152190208435,0.01,0.00944214649050264,0.0738410874571393
2022-02-11,1.1415525674819946,0.01,0.00944214649050264,0.07365624981580789
2022-02-14,1.1365057229995728,0.01,0.00944214649050264,0.07392715439564469
2022-02-15,1.1306334733963013,0.01,0.00944214649050264,0.07599967904724757
2022-02-16,1.1356796026229858,0.01,0.00944214649050264,0.07361459747582179
2022-02-17,1.1375269889831543,0.01,0.00944214649050264,0.07371030248848712
2022-02-18,1.1366478204727173,0.01,0.00944214649050264,0.07308345307604319
2022-02-21,1.131721019744873,0.01,0.00944214649050264,0.07431927377992273
2022-02-22,1.1309658288955688,0.01,0.00944214649050264,0.07416315322927136
2022-02-23,1.13291335105896,0.01,0.00944214649050264,0.07414609333499714
2022-02-24,1.1305694580078125,0.01,0.00944214649050264,0.07175728612749024
2022-02-25,1.11906898021698,0.01,0.00944214649050264,0.07456580400979283
2022-02-28,1.118105411529541,0.01,0.00944214649050264,0.07464993031250854
2022-03-01,1.1215918064117432,0.0134,0.010541734137318902,0.07121943524738325
2022-03-02,1.1132758855819702,0.0134,0.010541734137318902,0.07413997006494151
2022-03-03,1.1112345457077026,0.0134,0.010541734137318902,0.07342043753575259
2022-03-04,1.1066844463348389,0.0134,0.010541734137318902,0.05651096812317091
2022-03-07,1.087453007698059,0.0134,0.010541734137318902,0.07842295676021198
2022-03-08,1.0865312814712524,0.0134,0.010541734137318902,0.07848302614993234
2022-03-09,1.0898232460021973,0.0134,0.010541734137318902,0.08096509239425102
2022-03-10,1.107382893562317,0.0134,0.010541734137318902,0.1037656147153274
2022-03-11,1.1013944149017334,0.0134,0.010541734137318902,0.10457969334588263
2022-03-14,1.093206763267517,0.0134,0.010541734137318902,0.1061363290537333
2022-03-15,1.0943193435668945,0.0134,0.010541734137318902,0.10590812117728571
2022-03-16,1.0969363451004028,0.0134,0.010541734137318902,0.10457993931358765
2022-03-17,1.1021955013275146,0.0134,0.010541734137318902,0.10650865527027624
2022-03-18,1.1099518537521362,0.0134,0.010541734137318902,0.11078814068438822
2022-03-21,1.1043134927749634,0.0134,0.010541734137318902,0.11110247988399673
2022-03-22,1.101722002029419,0.0134,0.010541734137318902,0.11115078984605029
2022-03-23,1.1029735803604126,0.0134,0.010541734137318902,0.11095843979814245
2022-03-24,1.1006306409835815,0.0134,0.010541734137318902,0.11096346181646594
2022-03-25,1.1009578704833984,0.0134,0.010541734137318902,0.10596542205806542
2022-03-28,1.098189115524292,0.0134,0.010541734137318902,0.10613789671980435
2022-03-29,1.0993843078613281,0.0134,0.010541734137318902,0.10536312072790241
2022-03-30,1.1091516017913818,0.0134,0.010541734137318902,0.10798412207800394
2022-03-31,1.1161835193634033,0.0134,0.010541734137318902,0.11018929166452732
2022-04-01,1.1072357892990112,0.0189,0.0156824814264862,0.11309521071830667
2022-04-04,1.1047282218933105,0.0189,0.0156824814264862,0.09283437143106607
2022-04-05,1.0975863933563232,0.0189,0.0156824814264862,0.09624643778792821
2022-04-06,1.090643286705017,0.0189,0.0156824814264862,0.09871013341297198
2022-04-07,1.0898232460021973,0.0189,0.0156824814264862,0.07869929819722928
2022-04-08,1.0864840745925903,0.0189,0.0156824814264862,0.07729633767958331
2022-04-11,1.0884946584701538,0.0189,0.0156824814264862,0.07343325063151061
2022-04-12,1.0877959728240967,0.0189,0.0156824814264862,0.07329975867697508
2022-04-13,1.0826143026351929,0.0189,0.0156824814264862,0.07422085936875333
2022-04-14,1.089656949043274,0.0189,0.0156824814264862,0.07609661100724072
2022-04-15,1.0820988416671753,0.0189,0.0156824814264862,0.07375310008217784
2022-04-18,1.081525444984436,0.0189,0.0156824814264862,0.07238258925073955
2022-04-19,1.0781787633895874,0.0189,0.0156824814264862,0.07261069833796092
2022-04-20,1.0794472694396973,0.0189,0.0156824814264862,0.07262721148771176
2022-04-21,1.0849870443344116,0.0189,0.0156824814264862,0.07572750822248
